Clé;Date mutation;Nature mutation;Valeur fonciere
2715;11/02/2020;Vente;178900
2716;03/02/2020;Vente;66000
2717;26/02/2020;Vente;52000
2718;21/02/2020;Vente;136000
2719;03/02/2020;Vente;139000
2720;24/02/2020;Vente;86000
2721;14/02/2020;Vente;36000
2722;14/02/2020;Vente;120133
2723;20/02/2020;Vente;64000
2724;17/02/2020;Vente;149500
2725;14/02/2020;Vente;134000
2726;28/02/2020;Vente;111000
2727;21/02/2020;Vente;222700
2728;20/02/2020;Vente;208000
2729;02/03/2020;Vente;165000
2730;07/02/2020;Vente;480850
2731;17/02/2020;Vente;72000
2732;26/02/2020;Vente;58000
2733;25/02/2020;Vente;176000
2734;11/02/2020;Vente;30000
2735;14/02/2020;Vente;205000
2736;10/02/2020;Vente;33308
2737;12/02/2020;Vente;110000
2738;21/02/2020;Vente;145000
2739;17/02/2020;Vente;32000
2740;13/02/2020;Vente;150000
2741;25/02/2020;Vente;93000
2742;22/01/2020;Vente;77000
2743;25/02/2020;Vente;293000
2744;26/02/2020;Vente;69000
2745;24/02/2020;Vente;202000
2746;05/03/2020;Vente;66000
2747;25/02/2020;Vente;34000
2748;19/02/2020;Vente;141950
2749;24/02/2020;Vente;228975
2750;18/02/2020;Vente;125700
2751;12/02/2020;Vente;48000
2752;14/02/2020;Vente;108000
2753;22/02/2020;Vente;160850
2754;15/02/2020;Vente;135000
2755;28/02/2020;Vente;43000
2756;21/02/2020;Vente;310500
2757;20/02/2020;Vente;83400
2758;21/02/2020;Vente;74000
2759;18/02/2020;Vente;175000
2760;03/03/2020;Vente;52000
2761;25/02/2020;Vente;68000
2762;25/02/2020;Vente;80000
2763;28/02/2020;Vente;55000
2764;12/02/2020;Vente;73000
2765;11/02/2020;Vente;347000
2766;12/02/2020;Vente;275000
2767;25/02/2020;Vente;54000
2768;28/02/2020;Vente;115000
2769;28/02/2020;Vente;43000
2770;05/03/2020;Vente;140000
2771;21/02/2020;Vente;197000
2772;06/03/2020;Vente;62000
2773;25/02/2020;Vente;240000
2774;21/02/2020;Vente;120000
2775;02/03/2020;Vente;71000
2776;02/03/2020;Vente;81350
2777;09/03/2020;Vente;72000
2778;27/02/2020;Vente;38000
2779;05/03/2020;Vente;80000
2780;17/03/2020;Vente;83000
2781;13/03/2020;Vente;175500
2782;28/02/2020;Vente;182000
2783;06/03/2020;Vente;145500
2784;06/03/2020;Vente;170600
2785;11/03/2020;Vente;223000
2786;13/03/2020;Vente;87000
2787;16/03/2020;Vente;95000
2788;13/03/2020;Vente;115000
2789;02/03/2020;Vente;320000
2790;09/03/2020;Vente;405100
2791;16/03/2020;Vente;50000
2792;04/03/2020;Vente;83000
2793;05/03/2020;Vente;48000
2794;12/03/2020;Vente;80000
2795;12/03/2020;Vente;80000
2796;28/02/2020;Vente;6500
2797;13/03/2020;Vente;34000
2798;13/03/2020;Vente;113000
2799;28/02/2020;Vente;121900
2800;02/03/2020;Vente;169000
2801;06/03/2020;Vente;108000
2802;09/03/2020;Vente;68000
2803;11/03/2020;Vente;49000
2804;12/03/2020;Vente;67000
2805;16/03/2020;Vente;29500
2806;27/02/2020;Vente;214000
2807;03/03/2020;Vente;153000
2808;13/03/2020;Vente;137000
2809;12/03/2020;Vente;38000
2810;16/03/2020;Vente;85000
2811;27/02/2020;Vente;112000
2812;26/02/2020;Vente;137850
2813;24/02/2020;Vente;154150
2814;16/03/2020;Vente;111630
2815;11/03/2020;Vente;75000
2816;11/03/2020;Vente;91500
2817;11/03/2020;Vente;60000
2818;17/03/2020;Vente;127000
2819;09/03/2020;Vente;115000
2820;25/02/2020;Vente;84000
2821;05/03/2020;Vente;173000
2822;11/03/2020;Vente;45000
2823;17/03/2020;Vente;67000
2824;21/02/2020;Vente;73000
2825;06/03/2020;Vente;42000
2826;06/03/2020;Vente;60000
2827;13/03/2020;Vente;178650
2828;16/03/2020;Vente;155000
2829;09/03/2020;Vente;60000
2830;11/03/2020;Vente;35500
2831;09/03/2020;Vente;174000
2832;16/03/2020;Vente;144450
2833;10/03/2020;Vente;70000
2834;09/03/2020;Vente;68500
2835;13/03/2020;Vente;76000
2836;12/03/2020;Vente;280000
2837;10/03/2020;Vente;218000
2838;06/03/2020;Vente;99000
2839;06/03/2020;Vente;90000
2840;07/04/2020;Vente;98000
2841;10/03/2020;Vente;27000
2842;09/03/2020;Vente;47500
2843;16/03/2020;Vente;42000
2844;02/03/2020;Vente;70000
2845;12/03/2020;Vente;55100
2846;25/03/2020;Vente;154500
2847;02/04/2020;Vente;130000
2848;11/03/2020;Vente;90000
2849;09/03/2020;Vente;99000
2850;12/03/2020;Vente;45000
2851;16/03/2020;Vente;30000
2852;06/04/2020;Vente;188000
2853;30/03/2020;Vente;139500
2854;20/02/2020;Vente;400000
2855;16/03/2020;Vente;106542
2856;05/03/2020;Vente;80200
2857;16/03/2020;Vente;74000
2858;13/03/2020;Vente;61500
2859;03/04/2020;Vente;225163
2860;14/04/2020;Vente;137000
2861;13/03/2020;Vente;610000
2862;16/03/2020;Vente;164000
2863;16/03/2020;Vente;131100
2864;16/04/2020;Vente;50000
2865;17/04/2020;Vente;122000
2866;15/04/2020;Vente;160000
2867;17/04/2020;Vente;85000
2868;09/04/2020;Vente;30000
2869;02/03/2020;Vente;90000
2870;09/03/2020;Vente;110000
2871;01/04/2020;Vente;140000
2872;03/04/2020;Vente;149000
2873;04/03/2020;Vente;152000
2874;12/03/2020;Vente;126500
2875;06/03/2020;Vente;135000
2876;14/04/2020;Vente;118000
2877;30/03/2020;Vente;260000
2878;17/04/2020;Vente;25000
2879;23/04/2020;Vente;121000
2880;27/04/2020;Vente;294000
2881;20/04/2020;Vente;130000
2882;17/04/2020;Vente;129000
2883;28/04/2020;Vente;108000
2884;09/03/2020;Vente;82422
2885;06/03/2020;Vente;45000
2886;13/03/2020;Vente;88500
2887;21/04/2020;Vente;195000
2888;29/04/2020;Vente;105000
2889;29/04/2020;Vente;48500
2890;28/04/2020;Vente;107000
2891;13/03/2020;Vente;299000
2892;16/03/2020;Vente;298000
2893;07/01/2020;Vente;82500
2894;06/01/2020;Vente;82000
2895;06/01/2020;Vente;265000
2896;07/01/2020;Vente;74900
2897;08/01/2020;Vente;76500
2898;06/01/2020;Vente;144000
2899;15/01/2020;Vente;143970
2900;08/01/2020;Vente;215000
2901;13/01/2020;Vente;116590
2902;07/01/2020;Vente;107000
2903;09/01/2020;Vente;67000
2904;10/01/2020;Vente;94000
2905;03/01/2020;Vente;121000
2906;06/01/2020;Vente;144950
2907;16/01/2020;Vente;355000
2908;14/01/2020;Vente;303100
2909;20/01/2020;Vente;160000
2910;14/01/2020;Vente;370000
2911;10/01/2020;Vente;157000
2912;24/01/2020;Vente;168000
2913;23/01/2020;Vente;113000
2914;10/01/2020;Vente;124600
2915;13/01/2020;Vente;242400
2916;15/01/2020;Vente;281600
2917;16/01/2020;Vente;122000
2918;10/01/2020;Vente;247700
2919;28/01/2020;Vente;115000
2920;22/01/2020;Vente;102000
2921;28/01/2020;Vente;119183
2922;14/01/2020;Vente;114141
2923;13/01/2020;Vente;126000
2924;09/01/2020;Vente;143000
2925;27/01/2020;Vente;269000
2926;16/01/2020;Vente;183000
2927;30/01/2020;Vente;88000
2928;24/01/2020;Vente;240000
2929;13/01/2020;Vente;62919
2930;04/02/2020;Vente;205000
2931;24/01/2020;Vente;112000
2932;24/01/2020;Vente;102635
2933;08/01/2020;Vente;201400
2934;24/01/2020;Vente;569500
2935;16/01/2020;Vente;139000
2936;23/01/2020;Vente;97000
2937;20/01/2020;Vente;332500
2938;30/01/2020;Vente;356000
2939;28/01/2020;Vente;142000
2940;23/01/2020;Vente;87000
2941;30/01/2020;Vente;113150
2942;24/01/2020;Vente;133000
2943;29/01/2020;Vente;142000
2944;05/02/2020;Vente;80000
2945;27/01/2020;Vente;89000
2946;09/01/2020;Vente;118000
2947;06/02/2020;Vente;725000
2948;07/02/2020;Vente;199000
2949;14/01/2020;Vente;71000
2950;23/01/2020;Vente;290800
2951;23/01/2020;Vente;126000
2952;06/02/2020;Vente;120000
2953;06/02/2020;Vente;58000
2954;31/01/2020;Vente;268400
2955;24/01/2020;Vente;86820
2956;07/02/2020;Vente;218200
2957;28/01/2020;Vente;270000
2958;30/01/2020;Vente;55000
2959;04/02/2020;Vente;63000
2960;12/02/2020;Vente;91650
2961;11/02/2020;Vente;137000
2962;24/01/2020;Vente;115900
2963;30/01/2020;Vente;75000
2964;30/01/2020;Vente;217000
2965;17/02/2020;Vente;298000
2966;24/02/2020;Vente;190000
2967;18/02/2020;Vente;204000
2968;14/02/2020;Vente;498400
2969;24/02/2020;Vente;87000
2970;21/02/2020;Vente;164000
2971;05/02/2020;Vente;105000
2972;18/02/2020;Vente;58000
2973;26/02/2020;Vente;165000
2974;14/02/2020;Vente;56500
2975;13/02/2020;Vente;196000
2976;26/02/2020;Vente;107500
2977;07/02/2020;Vente;133000
