ID_Adrese;ID_VF;No voie;Type de voie;Voie;Code postal;Commune
395;2618;12;RUE;CAMOIN JEUNE;13004;MARSEILLE 4EME
396;2619;4;IMP;FLECHER;13015;MARSEILLE 15EME
397;2620;5001;;LES ROSIERS;13014;MARSEILLE 14EME
398;2621;103;TSSE;NTRE DAME BON SECOURS;13014;MARSEILLE 14EME
399;2622;23;BD;GAY LUSSAC;13014;MARSEILLE 14EME
400;2623;18;RUE;BENEDIT;13004;MARSEILLE 4EME
401;2624;25;RUE;LEO LAGRANGE;13014;MARSEILLE 14EME
402;2625;17;;RSE NORD;13015;MARSEILLE 15EME
403;2626;95;RUE;D AUBAGNE;13001;MARSEILLE 1ER
404;2627;23;BD;J. SAADE Q. DE LA JOLIETTE;13002;MARSEILLE 2EME
405;2628;2;BD;DE LA LIBERATION;13001;MARSEILLE 1ER
406;2629;7;CRS;JEAN BALLARD;13001;MARSEILLE 1ER
407;2630;24;RUE;DU JET D EAU;13003;MARSEILLE 3EME
408;2631;30;RUE;MATHIEU STILLATI;13003;MARSEILLE 3EME
409;2632;14;RUE;DES DOMINICAINES;13001;MARSEILLE 1ER
410;2633;8;BD;SAINT BRUNO;13004;MARSEILLE 4EME
411;2634;14;VC;SQ  NATIONAL;13003;MARSEILLE 3EME
412;2635;10;RUE;DESAIX;13003;MARSEILLE 3EME
413;2636;17;RUE;DE LA LOGE;13002;MARSEILLE 2EME
414;2637;13;RUE;PLUMIER;13002;MARSEILLE 2EME
415;2638;30;RUE;SENAC;13001;MARSEILLE 1ER
416;2639;17;BD;JEAN DUPLESSIS;13014;MARSEILLE 14EME
417;2640;25;RUE;ORAN;13004;MARSEILLE 4EME
418;2641;52;AV;DES CHUTES LAVIE;13004;MARSEILLE 4EME
419;2642;31;RUE;D AUBAGNE;13001;MARSEILLE 1ER
420;2643;109;MTE;DU PICHOU;13016;MARSEILLE 16EME
421;2644;116;BD;BLANCARDE;13004;MARSEILLE 4EME
422;2645;11;RUE;HENRI AUZIAS;13003;MARSEILLE 3EME
423;2646;21;RUE;DE VARSOVIE;13016;MARSEILLE 16EME
424;2647;48;AV;DE ST LOUIS;13015;MARSEILLE 15EME
425;2648;2;AV;DES CHUTES LAVIE;13004;MARSEILLE 4EME
426;2649;3;RUE;COLBERT;13001;MARSEILLE 1ER
427;2650;2;RUE;ARCHIMEDE;13004;MARSEILLE 4EME
428;2651;90;VC;LA CANEBIERE;13001;MARSEILLE 1ER
429;2652;24;RUE;THUBANEAU;13001;MARSEILLE 1ER
430;2653;67;RUE;CURIOL;13001;MARSEILLE 1ER
431;2654;135;CHE;ST JOSEPH A STE MARTHE;13014;MARSEILLE 14EME
432;2655;37;BD;SAINT JEAN DE DIEU;13014;MARSEILLE 14EME
433;2656;8;RUE;BERNARD;13003;MARSEILLE 3EME
434;2657;78;RUE;BELLE DE MAI;13003;MARSEILLE 3EME
435;2658;229;BD;DE LA LIBERATION;13004;MARSEILLE 4EME
436;2659;32;VC;LA CANEBIERE;13001;MARSEILLE 1ER
437;2660;23;TRA;PICASSO;13016;MARSEILLE 16EME
438;2661;2;RUE;FRANCOIS MASSABO;13002;MARSEILLE 2EME
439;2662;46;AV;MAL FOCH;13004;MARSEILLE 4EME
440;2663;34;BD;PARDIGON;13004;MARSEILLE 4EME
441;2664;358;CHE;DU LITTORAL;13015;MARSEILLE 15EME
442;2665;20;RUE;GAVAUDAN;13004;MARSEILLE 4EME
443;2666;26;BD;GEORGES CLEMENCEAU;13004;MARSEILLE 4EME
444;2667;37;TRA;DE LA MICHELE;13015;MARSEILLE 15EME
445;2668;4;RUE;ALEXIS CARREL;13004;MARSEILLE 4EME
446;2669;48;AV;SAINT JEAN;13002;MARSEILLE 2EME
447;2670;28;VC;SQ  NATIONAL;13003;MARSEILLE 3EME
448;2671;5002;TSSE;DU CHATEAU VENTO;13014;MARSEILLE 14EME
449;2672;57;RUE;FLEGIER;13001;MARSEILLE 1ER
450;2673;90;BD;CHARLES MORETTI;13014;MARSEILLE 14EME
451;2674;16;RUE;DANTON;13003;MARSEILLE 3EME
452;2675;19;IMP;DE ROUX;13004;MARSEILLE 4EME
453;2676;18;RUE;MARX DORMOY;13004;MARSEILLE 4EME
454;2677;200;BD;NATIONAL;13003;MARSEILLE 3EME
455;2678;55;CHE;DE LA PELOUQUE;13016;MARSEILLE 16EME
456;2679;5;RUE;SAINT SAENS;13001;MARSEILLE 1ER
457;2680;35;CHE;ST JOSEPH A STE MARTHE;13014;MARSEILLE 14EME
458;2681;14;BD;PARDIGON;13004;MARSEILLE 4EME
459;2682;19;RUE;DU PETIT PUITS;13002;MARSEILLE 2EME
460;2683;188;AV;ROGER SALENGRO;13015;MARSEILLE 15EME
461;2684;3;RUE;ROUVIERE;13001;MARSEILLE 1ER
462;2685;49;BD;GLACIERE;13014;MARSEILLE 14EME
463;2686;21;RUE;ORAN;13004;MARSEILLE 4EME
464;2687;10;RUE;PIERRE BELLOT;13001;MARSEILLE 1ER
465;2688;2;BD;BONNES GRACES;13003;MARSEILLE 3EME
466;2689;40;RUE;PIERRE ALBRAND;13002;MARSEILLE 2EME
467;2690;18;BD;DE ROUX;13004;MARSEILLE 4EME
468;2691;6;CHE;DE BIZET;13016;MARSEILLE 16EME
469;2692;44;RUE;DES RECOLETTES;13001;MARSEILLE 1ER
470;2693;20;RUE;LOUIS GROBET;13001;MARSEILLE 1ER
471;2694;135;BD;LONGCHAMP;13001;MARSEILLE 1ER
472;2695;19;BD;ALBIN BANDINI;13016;MARSEILLE 16EME
473;2696;44;RUE;DU COQ;13001;MARSEILLE 1ER
474;2697;13;RUE;GLANDEVES;13001;MARSEILLE 1ER
475;2698;46;BD;KRAEMER;13014;MARSEILLE 14EME
476;2699;55;RUE;DE FORBIN;13002;MARSEILLE 2EME
477;2700;110;BD;DE PARIS;13003;MARSEILLE 3EME
478;2701;4;RUE;POIDS DE LA FARINE;13001;MARSEILLE 1ER
479;2702;20;RUE;GUIBAL;13001;MARSEILLE 1ER
480;2703;24;RUE;MAZENOD;13002;MARSEILLE 2EME
481;2704;13;RUE;FORTUNE JOURDAN;13003;MARSEILLE 3EME
482;2705;34;RUE;HENRI JURAMY;13004;MARSEILLE 4EME
483;2706;41;RUE;D ISOARD;13001;MARSEILLE 1ER
484;2707;5;RUE;CURIOL;13001;MARSEILLE 1ER
485;2708;12;RUE;ELZEARD ROUGIER;13004;MARSEILLE 4EME
486;2709;30;RUE;SERAPHIN;13015;MARSEILLE 15EME
487;2710;7;VC;SQ  NATIONAL;13003;MARSEILLE 3EME
488;2711;4;RUE;CHANTERAC;13003;MARSEILLE 3EME
489;2712;12;RUE;DES GARDIANS;13014;MARSEILLE 14EME
490;2713;31;BD;DE LUNEL;13015;MARSEILLE 15EME
491;2714;36;RUE;FRANCOIS BARBINI;13003;MARSEILLE 3EME
492;2715;70;AV;CLAUDE MONET;13014;MARSEILLE 14EME
493;2716;80;BD;FRANCOISE DUPARC;13004;MARSEILLE 4EME
494;2717;122;TSSE;NTRE DAME BON SECOURS;13014;MARSEILLE 14EME
495;2718;100;CHE;ST ANTOINE A ST JOSEPH;13015;MARSEILLE 15EME
496;2719;15;BD;DES DAMES;13002;MARSEILLE 2EME
497;2720;22;RUE;DE LA PALUD;13001;MARSEILLE 1ER
498;2721;12;RUE;TOUSSAINT;13003;MARSEILLE 3EME
499;2722;10;RUE;BERNARD DU BOIS;13001;MARSEILLE 1ER
500;2723;70;RUE;CURIOL;13001;MARSEILLE 1ER
501;2724;273;BD;CHAVE;13004;MARSEILLE 4EME
502;2725;19;BD;DE ROUX;13004;MARSEILLE 4EME
503;2726;5;RUE;PLUMIER;13002;MARSEILLE 2EME
504;2727;3;AV;MARIGNY;13014;MARSEILLE 14EME
505;2728;22;RUE;PORTE BAUSSENQUE;13002;MARSEILLE 2EME
506;2729;11;TSSE;MARITIME;13015;MARSEILLE 15EME
507;2730;47;RUE;DE LA LOGE;13002;MARSEILLE 2EME
508;2731;24;BD;FRANCOISE DUPARC;13004;MARSEILLE 4EME
509;2732;8;RUE;COLLIN;13003;MARSEILLE 3EME
510;2733;1;BD;ROGER CHIEUSSE;13016;MARSEILLE 16EME
511;2734;11;RUE;DE VERSAILLES;13003;MARSEILLE 3EME
512;2735;50;RUE;PARADIS;13001;MARSEILLE 1ER
513;2736;11;RUE;HENRI AUZIAS;13003;MARSEILLE 3EME
514;2737;105;RUE;JEAN DE BERNARDY;13001;MARSEILLE 1ER
515;2738;6;RUE;COMMANDANT MAGES;13001;MARSEILLE 1ER
516;2739;15;RUE;DE LA JOLIETTE;13002;MARSEILLE 2EME
517;2740;56;VC;LA CANEBIERE;13001;MARSEILLE 1ER
518;2741;40;BD;LECCIA;13003;MARSEILLE 3EME
519;2742;22;RUE;BERNARD;13003;MARSEILLE 3EME
520;2743;54;CHE;DU BASSIN;13014;MARSEILLE 14EME
521;2744;1;RUE;FRANCOIS MASSABO;13002;MARSEILLE 2EME
522;2745;30;BD;DE LA LIBERTE;13001;MARSEILLE 1ER
523;2746;22;BD;GOUZIAN;13003;MARSEILLE 3EME
524;2747;5002;TSSE;DU CHATEAU VENTO;13014;MARSEILLE 14EME
525;2748;70;AV;CLAUDE MONET;13014;MARSEILLE 14EME
526;2749;24;RUE;DES ABEILLES;13001;MARSEILLE 1ER
527;2750;10;RUE;ELZEARD ROUGIER;13004;MARSEILLE 4EME
528;2751;45;AV;CAMILLE PELLETAN;13002;MARSEILLE 2EME
529;2752;78;RUE;CHEVALIER PAUL;13002;MARSEILLE 2EME
530;2753;9;RUE;JEAN MARC CATHALA;13002;MARSEILLE 2EME
531;2754;1;RUE;PLUMIER;13002;MARSEILLE 2EME
532;2755;77;BD;DE PLOMBIERES;13003;MARSEILLE 3EME
533;2756;17;RUE;PLUMIER;13002;MARSEILLE 2EME
534;2757;68;BD;ROUGIER;13004;MARSEILLE 4EME
535;2758;15;RUE;SAINT BRUNO;13004;MARSEILLE 4EME
536;2759;150;RUE;RABELAIS;13016;MARSEILLE 16EME
537;2760;20;BD;BERNABO;13015;MARSEILLE 15EME
538;2761;6;CHE;DE BIZET;13016;MARSEILLE 16EME
539;2762;19;AV;DE ST ANTOINE;13015;MARSEILLE 15EME
540;2763;28;BD;PAUL ARENE;13014;MARSEILLE 14EME
541;2764;17;BD;DU CDT FINAT DUCLOS;13014;MARSEILLE 14EME
542;2765;24;ALL;LEON GAMBETTA;13001;MARSEILLE 1ER
543;2766;14;BD;GARIBALDI;13001;MARSEILLE 1ER
544;2767;11;RUE;CONSOLAT;13001;MARSEILLE 1ER
545;2768;5001;CITE;BEAUSOLEIL B ROUX PR;13004;MARSEILLE 4EME
546;2769;358;CHE;DU LITTORAL;13015;MARSEILLE 15EME
547;2770;3;TRA;FAVANT;13016;MARSEILLE 16EME
548;2771;1;BD;ROGER CHIEUSSE;13016;MARSEILLE 16EME
549;2772;23;RUE;NATIONALE;13001;MARSEILLE 1ER
550;2773;2;RUE;SAINT LAURENT;13002;MARSEILLE 2EME
551;2774;22;RUE;TOUSSAINT;13003;MARSEILLE 3EME
552;2775;40;RUE;SAINT ANDRE;13014;MARSEILLE 14EME
553;2776;22;RUE;DES HEROS;13001;MARSEILLE 1ER
554;2777;9002;RUE;RANQUE;13001;MARSEILLE 1ER
555;2778;26;BD;GOUZIAN;13003;MARSEILLE 3EME
556;2779;141;BD;FRANCOISE DUPARC;13004;MARSEILLE 4EME
557;2780;28;RUE;ST GABRIEL;13014;MARSEILLE 14EME
558;2781;23;RUE;GABRIEL AUDISIO;13014;MARSEILLE 14EME
559;2782;12;BD;CHARLES NEDELEC;13001;MARSEILLE 1ER
560;2783;2;RUE;PLUMIER;13002;MARSEILLE 2EME
561;2784;12;PL;STRASBOURG PAUL CERMOLACCE;13003;MARSEILLE 3EME
562;2785;9;AV;DE ST ANTOINE;13015;MARSEILLE 15EME
563;2786;39;CHE;DE GIBBES;13014;MARSEILLE 14EME
564;2787;19;IMP;DE ROUX;13004;MARSEILLE 4EME
565;2788;27;RUE;DU GENIE;13003;MARSEILLE 3EME
566;2789;72;RUE;CURIOL;13001;MARSEILLE 1ER
